model,fold,RMSE_log,MAE_log,R2_log,fit_time_sec,score_time_sec
DummyRegressor,1,0.672081929443053,0.523452949856241,-0.0020320833931681825,1.6019787788391113,0.08427906036376953
DummyRegressor,2,0.6729625495262394,0.5068642262453935,-0.00013690841709101953,1.6221706867218018,0.08695340156555176
DummyRegressor,3,0.6886294828564161,0.5256977122463669,-0.0007487704282707064,1.6198477745056152,0.08741593360900879
DummyRegressor,4,0.6763070985832633,0.5201339677746061,-0.0014679592418056497,1.6060690879821777,0.08674097061157227
DummyRegressor,5,0.679785412824193,0.5225248996206063,-0.0029493951338090962,1.6188013553619385,0.08796334266662598
Ridge,1,0.5184868690915996,0.39773938145220866,0.4036342211157605,1.6680824756622314,0.08166384696960449
Ridge,2,0.5395229694950953,0.39831543326158375,0.35716792301012645,1.5937378406524658,0.0905921459197998
Ridge,3,0.53591100957324,0.4065269194319145,0.39390709755208686,1.6545367240905762,0.09816479682922363
Ridge,4,0.5293115907954292,0.39676050333684637,0.38656016289872375,1.869593858718872,0.09049129486083984
Ridge,5,0.5213771237288302,0.39376474005518114,0.4100172926674879,1.8839573860168457,0.09906125068664551
Lasso,1,0.2713112546070271,0.1900154594541445,0.8367050291883249,4.98942232131958,0.11657166481018066
Lasso,2,0.29359964809984923,0.18915639004585205,0.8096342898665028,4.866128444671631,0.10050034523010254
Lasso,3,0.29122586848594795,0.19002607060305887,0.8210161942865879,3.856710910797119,0.08663392066955566
Lasso,4,0.25968772687076935,0.18488246631987507,0.8523436878965874,3.9678030014038086,0.08420896530151367
Lasso,5,0.28345750715123746,0.18770085359285774,0.8256141407536723,3.8259060382843018,0.08557295799255371
ElasticNet,1,0.26106211044403893,0.18269841132400955,0.8488093691119676,12.225847721099854,0.0896914005279541
ElasticNet,2,0.28605361852862127,0.18203452681113497,0.8192940079598118,11.785171747207642,0.08670544624328613
ElasticNet,3,0.28371551340489626,0.18399546942487144,0.8301287013709376,11.455464124679565,0.08467650413513184
ElasticNet,4,0.2514501443053158,0.1778717749704528,0.8615627556736845,11.070394515991211,0.08807897567749023
ElasticNet,5,0.27521889418947443,0.18082906698793072,0.8356037791168789,11.46532940864563,0.08210492134094238
RandomForest,1,0.22386678955816275,0.14659852515570568,0.8888225951200246,8.707872867584229,0.14207029342651367
RandomForest,2,0.238118755975422,0.14954480281898866,0.8747825452623952,8.597489833831787,0.13393187522888184
RandomForest,3,0.23847584075694594,0.1541355068353847,0.8799830413226296,8.606974363327026,0.14055347442626953
RandomForest,4,0.2193555859172722,0.14797321879359043,0.8946470832147243,8.62157416343689,0.1398482322692871
RandomForest,5,0.23778157304743305,0.15139211129228455,0.8772866731462376,8.647053718566895,0.13526368141174316
XGBoost,1,0.2069849911971613,0.14765967299886207,0.9049581457756155,3.7290148735046387,0.13243889808654785
XGBoost,2,0.23077928132559442,0.1486684064200255,0.8823826757971426,2.095433235168457,0.10393118858337402
XGBoost,3,0.21924341595975722,0.15116386430829867,0.898560532639734,2.1225271224975586,0.10323762893676758
XGBoost,4,0.208109063170139,0.14786130275486922,0.9051731867692389,2.117479085922241,0.10252928733825684
XGBoost,5,0.22120594002639693,0.14859117731057303,0.8937989260726619,2.099191665649414,0.14772844314575195
